thread,message,data_pos,data_top,line,column,author,time,possibly_truncated,comment,latex_offset_context,latex_context
T011,1,17460,,342,3,alexshauser,"8 June, 11:04 pm",False,are the hyperparameters explained anywhere?,"dings over non-special \selfies{} tokens are extracted without any gradient updates [[POS]] and passed to lightweight downstream classifiers (ridge, random forest, $k$-nearest","and passed to lightweight downstream classifiers (ridge, random forest,"
T012,1,19249,,377,1,alexshauser,"8 June, 9:54 am",True,why it's own header? Usually this is integrated into introduction or later discussion. Overlaps with...,{fig:design} \end{figure} % ============================================================ [[POS]]\section{Related Work}% \label{sec:related-work} % =======================================,\section{Related Work}%
T013,1,19363,,382,1,alexshauser,"8 June, 9:56 am",False,panel A looks stretched and both panels low res,\label{sec:related-work} % ============================================================ [[POS]]\subsection{Molecular String Representations} \label{sec:rel-representations} The chemica,\subsection{Molecular String Representations}
T014,1,19442,,385,1,alexshauser,"8 June, 9:55 am",False,reference or your own calculation (methods/results),======== \subsection{Molecular String Representations} \label{sec:rel-representations} [[POS]]The chemical-validity guarantee of \selfies{}~\citep{krennSELFIESSelfReferencingEmbedded20,The chemical-validity guarantee of \selfies{}~\citep{krennSELFIESSelfReferencingEmbedded2020}
T015,1,20112,,395,1,alexshauser,"8 June, 10:00 am",False,Better suited for discussion imo,than equivalent \smiles{}-based models~\citep{krennSELFIESSelfReferencingEmbedded2020}. [[POS]]\subsection{Molecular Language Models} \label{sec:rel-lms} The fingerprint ECFP~\citep{ro,\subsection{Molecular Language Models}
T016,1,22617,,435,2,alexshauser,"8 June, 10:00 am",True,"THis is very true, especially on wether your benchmarked molecules are in the chembl training set (c...","\citep{liuPretrainingMolecularGraph2022}, and Uni-Mol~\citep{zhouUniMolUniversal3D2023}. [[POS]]These graph-based methods are outside the scope of \model{}, which operates on sequential","These graph-based methods are outside the scope of \model{}, which"
T017,1,24339,,464,1,alexshauser,"8 June, 10:12 pm",False,maybe best to integrate into intro / discussion,te-of-the-art results among encoder-only models on natural-language and code benchmarks. [[POS]]\subsection{Molecular Tokenization} \label{sec:rel-tokenization} The atom-preserving \ape,\subsection{Molecular Tokenization}
T018,1,25346,,488,1,alexshauser,"8 June, 10:13 pm",False,specify,"024,mayuareAPETokenizer} with several modifications for \selfies{} pretraining at scale. [[POS]]\paragraph{Molecular-aware pre-tokenization.} \selfies{} strings are first split on a rege",\paragraph{Molecular-aware pre-tokenization.}
T019,1,29528,,559,15,alexshauser,"8 June, 10:17 pm",False,is it just 10k compounds that get filtered that way?,"ChEMBL~ID, canonical \smiles{}, and \selfies{} in that order) with seed~13, yielding \num{[[POS]]2390317} training and \num{24228} validation molecules. The resulting \selfies{} strings a",yielding \num{2390317} training and \num{24228} validation molecules.
T020,1,32426,,607,59,alexshauser,"8 June, 10:24 pm",False,why those specifically?,"l parameters are updated. These embeddings are evaluated with three downstream models --- [[POS]]a ridge classifier, random forests, and $k$-nearest neighbours --- whose hyperparameters a","embeddings are evaluated with three downstream models --- a ridge classifier,"
T021,1,33755,,634,23,alexshauser,"8 June, 10:25 pm",False,which is? REF?,"Dataset sizes range from 475 to 93\,087 compounds, with task counts ranging from 1 to 27 ([[POS]]SIDER). The full list with per-dataset statistics is given in Table~4 of \citet{praskiBenc",ranging from 1 to 27 (SIDER).
T022,1,33965,,640,1,alexshauser,"8 June, 10:27 pm",False,integrate diectly into methods!?,"5}, whose benchmark selection we follow directly. All datasets are evaluated by ROC-AUC. [[POS]]\subsection{Baselines} \label{sec:baselines} We compare \model{} against both fixed and l",\subsection{Baselines}
T023,1,36551,,683,67,alexshauser,"8 June, 10:33 pm",True,"NIce aggregation figure, but perhaps show an example ROC to understand the underlying aggregation st...","f molecular embeddings. Throughout, ROC-AUC values are reported $\times100$, so one point [[POS]]corresponds to $0.01$ ROC-AUC. Direct paired comparisons use only jointly evaluated datase","Throughout, ROC-AUC values are reported $\times100$, so one point corresponds"
T024,1,36685,,686,1,alexshauser,"8 June, 10:29 pm",False,should be continues from 1,"comparisons use only jointly evaluated datasets, reported in \cref{fig:bootstrap-ci} and [[POS]]\cref{tab:bootstrap-cis}. \Cref{tab:main-results} reports mean ROC-AUC by task group; per-",\cref{tab:bootstrap-cis}.
T025,1,36840,,690,1,alexshauser,"8 June, 10:30 pm",False,is the underlying data for each dataset and each baseline shown anywhere?,C-AUC by task group; per-dataset results for all models are given in \cref{tab:pertask}. [[POS]]\begin{figure}[htbp] \centering \includegraphics[width=0.82\linewidth]{figures/bootstr,\begin{figure}[htbp]
T026,1,36843,,690,4,alexshauser,"8 June, 10:32 pm",False,would be nice to annotate in figure directly the positive MMB direction,UC by task group; per-dataset results for all models are given in \cref{tab:pertask}. \be[[POS]]gin{figure}[htbp] \centering \includegraphics[width=0.82\linewidth]{figures/bootstrap_,\begin{figure}[htbp]
T027,1,37785,,710,53,alexshauser,"8 June, 10:42 pm",False,why is there a difference in number of datasets again?,"} \input{tables/main_results_table} \model{}-base attains a mean ROC-AUC of 77.4 across [[POS]]24 evaluated benchmark datasets, and \model{}-small attains 77.3 across all 25 datasets (p",\model{}-base attains a mean ROC-AUC of 77.4 across 24 evaluated benchmark
T028,1,38850,,726,11,alexshauser,"8 June, 10:48 pm",False,could that be stated in the initial table for comparison?,"its clearest advantage (77.6 vs.\ \model{}-base 70.7), consistent with its much larger and[[POS]] more chemically diverse pretraining corpus. This pattern is consistent with frozen learne",larger and more chemically diverse pretraining corpus. This pattern is
T029,1,38896,,726,57,alexshauser,"8 June, 10:48 pm",False,REF,"e 70.7), consistent with its much larger and more chemically diverse pretraining corpus. T[[POS]]his pattern is consistent with frozen learned embeddings transferring best to tasks govern",larger and more chemically diverse pretraining corpus. This pattern is
T030,1,41008,,758,46,alexshauser,"8 June, 10:59 pm",False,not all of these are global properties though,"olarity, flexibility, aromaticity, and size, indicating that the embedding space captures [[POS]]global physicochemical structure even though it is never given these properties as trainin",indicating that the embedding space captures global physicochemical structure
T031,1,41108,,760,1,alexshauser,"8 June, 10:51 pm",False,"veeery small font, should be closer to figure legend size",sicochemical structure even though it is never given these properties as training signal. [[POS]] \begin{figure}[htbp] \centering \includegraphics[width=\linewidth]{figures/Fig_baseli,
T032,1,41109,,761,1,alexshauser,"8 June, 10:53 pm",False,"its the underlying for Figure 3 if I am not mistaken, should it come first then?",icochemical structure even though it is never given these properties as training signal. [[POS]]\begin{figure}[htbp] \centering \includegraphics[width=\linewidth]{figures/Fig_baselin,\begin{figure}[htbp]
T033,1,42703,,796,1,alexshauser,"8 June, 10:56 pm",False,y axis labels are very small,arity and reported in \cref{tab:pertask}. }% \label{fig:group-bars} \end{figure} [[POS]]\begin{figure}[htbp] \centering \includegraphics[width=\linewidth]{figures/Fig_4} \c,\begin{figure}[htbp]
T034,1,43158,,805,28,alexshauser,"8 June, 10:55 pm",False,spell out as QED (Quantitative Estimate of Drug-likeness),"nt represents one molecule; colour indicates the corresponding property value: ALogP, [[POS]]QED, polar surface area, rotatable bonds, aromatic rings, and heavy atom count. Pa","property value: ALogP, QED, polar surface area, rotatable bonds, aromatic"
T035,1,43461,,810,4,alexshauser,"8 June, 10:57 pm",False,so whats the interpretation,"are not chemically meaningful, and only relative neighbourhoods and broad spatial [[POS]] trends should be interpreted. }% \label{fig:embedding-space} \end{figure} \subsectio",trends should be interpreted.
T036,1,45670,,851,1,alexshauser,"8 June, 11:01 pm",False,more of a supplementary figure,gure}[htbp] \centering \includegraphics[width=\linewidth]{figures/Fig_2} \caption{% [[POS]] \textbf{Internal comparison of the four \model{} checkpoints on downstream ROC-AUC,\textbf{Internal comparison of the four \model{} checkpoints on downstream
T037,1,48544,,910,1,alexshauser,"8 June, 11:05 pm",False,funny wording,ar representation learning rather than as a claim about all molecular foundation models. [[POS]]It is important to read every number in this paper as a \emph{frozen-embedding} result. No,It is important to read every number in this paper as a \emph{frozen-embedding}
T038,1,49782,,930,1,alexshauser,"8 June, 11:06 pm",False,REF.,"\model{} is competitive with, but does not surpass, the strong ECFP4 fingerprint baseline [[POS]]and trails MoLFormer, which is pre-trained on roughly $400\times$ more molecules. The cont","and trails MoLFormer, which is pre-trained on roughly $400\times$ more"
T039,1,49815,,930,34,alexshauser,"8 June, 11:07 pm",False,could you train MMB on ZINC instead?,"does not surpass, the strong ECFP4 fingerprint baseline and trails MoLFormer, which is pr[[POS]]e-trained on roughly $400\times$ more molecules. The contribution is therefore a compact,","and trails MoLFormer, which is pre-trained on roughly $400\times$ more"
T040,1,50070,,935,1,alexshauser,"8 June, 11:07 pm",False,wording,hile substantially improving on prior string-based language models at comparable scale. [[POS]]A practical advantage of our is accessibility. ModernMolBERT is released in the standard H,"A practical advantage of our is accessibility. ModernMolBERT is released in the standard Hugging Face Transformers format and can be used with the current Python ecosystem without model-specific runtime dependencies, legacy Python versions, custom inference kernels, or external chemistry toolkits at embedding time once inputs are provided as SELFIES strings. Frozen embeddings can therefore be extracted with a few lines of standard Transformers code, making the model easier to incorporate into existing screening, retrieval, and benchmark pipelines than models requiring specialised environments. Likewise, the standalone tokenizer is straightforward to use in a similar fashion."
T041,1,51403,,943,1,alexshauser,"8 June, 11:13 pm",False,could one train on the same corpus to compare the models more directly?,"specialised inference infrastructure. \subsection{Limitations} \label{sec:limitations} [[POS]]\model{} is pre-trained exclusively on \chembl{}~36, a corpus dominated by drug-like, Lipi","\model{} is pre-trained exclusively on \chembl{}~36, a corpus"
T042,1,51465,,944,1,alexshauser,"8 June, 11:18 pm",False,what about peptides :D,"} \label{sec:limitations} \model{} is pre-trained exclusively on \chembl{}~36, a corpus [[POS]]dominated by drug-like, Lipinski-compliant compounds. Compared with MoLFormer, which draws","dominated by drug-like, Lipinski-compliant compounds."
T043,1,53871,,983,32,alexshauser,"8 June, 11:19 pm",False,YEs. How does it scale?,"ing-encoder scope of this work. The most direct is broader pretraining beyond \chembl{}, i[[POS]]ncluding PubChem, ZINC, Enamine, or other sources that better cover natural products, frag","pretraining beyond \chembl{}, including PubChem, ZINC, Enamine, or other"
